code,lat,lng
FKEN,51.166664,0.966665
FFR,56.644062,-2.88935
USFS,40.567471,-105.115128
WHM,56.817425,-5.1102
AFES,45.85416,-66.640526
MADS,38.635662,-9.268451
GAI,52.48333,-2.06667
GRS,14.4056,33.498901
GO,55.84996,-4.276075
GAW,55.84996,-4.276075
GOW,55.84996,-4.276075
GLW,55.84996,-4.276075
GLO,55.84996,-4.276075
GLG,55.84996,-4.276075
GGW,55.84996,-4.276075
GSO,55.84996,-4.276075
GLEN,37.578159,-76.607628
PHG,51.183331,-0.6
GOE,53.716671,-0.86667
GTM,52.911491,-0.64184
DPU,0,0
GBY,53.565392,-0.07553
SNHS,51.235359,-0.57427
GNHS,51.235359,-0.57427
HABE,22.525696,-79.873199
IH,22.525696,-79.873199
LS,22.525696,-79.873199
HUL,51.636921,-0.042151
NRCC,44.636169,-63.596031
NSRF,44.691807,-63.511982
HALX,52.631752,-1.01506
HFX,53.716671,-1.85
HAX,53.716671,-1.85
HLX,53.716671,-1.85
HALLST,47.560432,13.648175
MCM,43.232052,-79.765686
HGS,51.455494,-0.246843
HEB,53.75,-2.01667
HTD,51.795879,-0.07854
HYD,53.536697,-2.22842
HTN,51.403709,-0.23553
HWD,53.51667,-2.13333
HMM,51.049999,-0.33333
HHM,51.049999,-0.33333
HOU,29.721571,-95.342952
HPM,29.721599,-95.389526
HDTC,53.650002,-1.78333
HUMP,49.514824,15.217834
HTGN,51.90691,-1.297423
CAHS,39.77491,-86.165855
INVA,57.683331,-4.18333
ISRA,57.466671,-4.23333
IPSLI,52.054649,1.157
CU,42.447716,-76.48217
AAH,42.302269,-71.125435
UWJ,42.649849,-89.056122
KGY,53.867908,-1.90664
KSO,55.598141,-2.43382
KRG,53.92778,-0.91111
OMKH,49.948792,15.272535
MCTF,0,0
KNY,52.565746,-7.249826
KLN,52.741596,0.515732
CMY,22.557831,88.360992
TRA,32.861759,-117.246872
LAJC,37.982697,-103.538811
LAT,40.322842,-79.373993
LAV,52.457848,-1.534116
LCG,52.299999,-1.53333
LDSP,52.521626,-0.470515
LDSN,52.521626,-0.470515
GCM,5.65,-0.18333
LCH,51.731384,-1.318367
LET,51.979439,-0.2284
LWSM,51.477428,-0.022897
LLN,53.23333,-0.53333
ERZ,48.363558,8.92215
CRCA,38.760994,-9.223078
LISM,38.760994,-9.223078
LPN,51.162357,0.18291
LIVC,53.37093,-2.901254
LPL,53.41058,-2.97794
LIVU,53.41058,-2.97794
LIVNFC,53.41058,-2.97794
LRL,53.41058,-2.97794
STT,51.443768,-0.120485
LEYN,51.500511,-0.12883
PHA,51.510937,-0.0951
SMW,51.515152,-0.089623
SJC,51.515152,-0.089623
WCL,51.515152,-0.089623
TENHS,51.515152,-0.089623
QMC,51.515152,-0.089623
STM,51.515152,-0.089623
TKNM,51.515152,-0.089623
BRC,51.515152,-0.089623
WPL,51.5159,-0.070674
STB,51.518501,-0.10247
RBS,51.531214,-0.158851
WCE,51.556225,-0.19064
BNA,51.41259,-0.2974
ERH,51.426716,0.256627
APH,51.50317,-0.10757
MBSL,51.509754,-0.13852
BSL,51.510983,-0.124735
HPD,51.515152,-0.089623
MSL,51.515152,-0.089623
SAB,51.515152,-0.089623
HPDL,51.515152,-0.089623
KCS,51.616421,-0.079513
LGBH,52.76667,-1.2
LUD,52.366669,-2.73333
MPR,-15.179045,28.184845
LWD,49.830566,24.012606
LWA,49.830566,24.012606
MAD,35.11377,-89.962341
BFDL,43.074584,-89.427563
MAFST,40.47366,-3.57777
MHM,54.073689,-0.95032
MTN,54.073689,-0.95032
MGA,12.141825,-86.259369
MNHS,53.480949,-2.23743
MCR,51.521992,-0.5579
MCRBS,53.480949,-2.23743
MBS,53.480949,-2.23743
MFB,43.8507,-79.549446
LM,-22.245384,35.309818
LMC,-22.245384,35.309818
LMJ,-22.245384,35.309818
MBH,51.42062,-1.72751
IM,23.090481,-81.581665
FPDB,0,0
TNFC,54.973282,-1.61396
TECLA,13.657837,-89.283928
DELTA,49.973171,-98.293671
LCO,-8.83333,31.383329
TUFT,42.428139,-71.110352
MEX,19.395428,-99.147476
MDTN,53.547119,-2.19973
WECO,41.558058,-72.656815
MHL,51.885029,-0.59451
MCW,42.777744,-88.950089
MNKS,52.041721,-0.75583
PFC,35.484413,-80.304993
MVDA,-34.89122,-56.072208
SIGMA,43.611496,3.861956
MTJB,45.558294,-73.558103
MSEN,56.700001,-2.45
MLS,56.700001,-2.45
MSLY,53.497746,-2.136025
QM,42.299141,-71.380234
NLSN,49.505329,-117.269051
RUT,0,0
Y,41.306648,-72.913376
DELS,39.684151,-75.740074
NBY,51.506668,-0.096674
PIN,52.308094,-1.04022
NJ,7.981442,-11.388732
NCH,52.627831,1.29834
NLPS,52.953602,-1.15047
NOTM,52.953602,-1.15047
OHM,53.540508,-2.1183
OSB,53.540508,-2.1183
ORTN,54.46954,-2.5799
OSWY,52.849998,-3.03333
PAY,55.833328,-4.43333
PZL,50.11861,-5.53715
PNZ,50.11861,-5.53715
WNRE,50.147797,-95.886307
FMH,44.220718,-72.398643
PLY,50.830048,-3.49096
PMHPS,50.791401,-1.10044
TPV,30.08742,-95.98912
PTN,52.549999,-2.8
PCH,53.533329,-2.28333
ICA,4.65761,-74.097237
SDI,51.537819,0.71433
STD,51.537819,0.71433
STK,53,-2.18333
RAM,54.322731,-4.38526
REP,38.561111,63.178059
SRR,52.041649,4.34592
RPN,54.073689,-0.95032
RFNS,53.548809,-2.193715
RCHP,53.076782,-1.651687
RCR,51.752949,-0.131117
KCFS,51,-0.83333
HIWNT,50.98333,-1.5
RHM,54.073689,-0.95032
RSY,55.836479,-5.05508
RWDN,56.147751,-4.64018
RGY,52.366669,-1.25
RBY,51.560371,-0.092971
RUY,52.76667,-1.93333
RYD,50.716671,-1.16667
SWNHS,52.023369,0.24234
STASH,53.26667,-3.45
JEY,49.183331,-2.1
JSY,49.183331,-2.1
JRY,49.183331,-2.1
STPCM,49.459808,-2.53527
STP,49.459808,-2.53527
SALFM,52.622772,-1.151062
SALF,53.52808,-2.42793
SZL,47.824837,13.028926
GES,27.33139,-82.5326
SAFB,52.120064,-106.637199
AWL,46.51062,-84.319443
SCARB,54.073689,-0.95032
SCPS,54.073689,-0.95032
WMS,51.083328,-0.93333
SFDN,54.073689,-0.95032
SFDL,54.073689,-0.95032
SNW,52.710091,-2.75208
SHYP,52.710091,-2.75208
SHYAN,52.710091,-2.75208
SHYN,52.710091,-2.75208
SGBH,52.799999,-2.01667
SCT,51.312408,-2.82342
SKM,52.159027,-3.764489
PSS,50.900002,-1.4
SPTS,53.647789,-3.00648
SGGS,51.578445,-0.128503
STIU,56.116669,-3.95
SPL,59.331654,17.860069
SPA,59.331654,17.860069
SUND,54.802326,-2.324445
SWBR,37.554646,-79.080212
SWTN,53.502529,-2.31103
SYR,43.046085,-76.135384
TAK,41.307838,69.273018
TEXA,31.123032,-97.330711
TRD,51.729126,-0.049481
THL,55.700001,-3.95
TIK,60.293256,25.037706
TOD,53.716671,-2.08333
TDN,53.716671,-2.08333
TRTS,43.769886,-79.179932
YUTO,43.774131,-79.501422
TLP,43.604343,1.443053
TRO,50.261669,-5.04333
TRM,50.562389,15.923559
TVY,52.166672,-0.63333
TDY,53.51667,-2.46667
UPP,52.583328,-0.71667
VICF,4.02,9.21
VICA,4.02,9.21
